From,To,Type
mv_alad,wr_suni,7
mv_mmmus,wr_syho,7
mv_brbear,wr_tamu,7
mv_hbnd,wr_tamu,7
mv_tarzan,wr_tamu,7
mv_jafar,wr_tast,7
mv_blcaul,wr_tebe,7
mv_foxho,wr_tebe,7
mv_mapooh,wr_tebe,7
mv_resc,wr_tebe,7
mv_alad,wr_teel,7
mv_treasurepl,wr_teel,7
mv_irongiant,wr_tehu,7
mv_ironman,wr_tehu,7
mv_ouach,wr_tema,7
mv_rtneverl,wr_tema,7
mv_tlmm2,wr_tema,7
mv_jjatt,wr_tene,7
mv_alad,wr_tero,7
mv_treasurepl,wr_tero,7
mv_alice,wr_tese,7
mv_cind,wr_tese,7
mv_funff,wr_tese,7
mv_ichtoad,wr_tese,7
mv_pinocchio,wr_tese,7
mv_ppan,wr_tese,7
mv_salam,wr_tese,7
mv_snow,wr_tese,7
mv_thrcab,wr_tese,7
mv_tsby,wr_tese,7
mv_mmmus,wr_thee,7
mv_brbear,wr_then,7
mv_hercules,wr_then,7
mv_liki,wr_then,7
mv_ouach,wr_thha,7
mv_toaster,wr_thmdi,7
mv_nbchr,wr_tibu,7
mv_olicomp,wr_tidi,7
mv_bedtime,wr_tihe,7
mv_chrrob,wr_toca,7
mv_up,wr_toca,7
mv_donlamp,wr_tocr,7
mv_batb,wr_toel,7
mv_aristo,wr_togo,7
mv_poca,wr_toku,7
mv_ouach,wr_tona,7
mv_alice,wr_toor,7
mv_funff,wr_toor,7
mv_mmmus,wr_toor,7
mv_liki2,wr_toro,7
mv_secotw,wr_toro,7
mv_tinkerlnb,wr_toro,7
mv_aristo,wr_torow,7
mv_liki,wr_tosi,7
mv_101dal99,wr_trsh,7
mv_oswald,wr_ubiw,7
mv_stbtwl,wr_ubiw,7
mv_aristo,wr_vage,7
mv_blcaul,wr_vage,7
mv_foxho,wr_vage,7
mv_hercules,wr_vage,7
mv_jungle,wr_vage,7
mv_mapooh,wr_vage,7
mv_olicomp,wr_vage,7
mv_resc,wr_vage,7
mv_tgmouse,wr_vage,7
mv_toyst4,wr_vapo,7
mv_bambi,wr_vest,7
mv_dory,wr_vist,7
mv_oswald,wr_wadi,7
mv_stbtwl,wr_wadi,7
mv_wisehen,wr_wadi,7
mv_emojii,wr_webe,7
mv_pinocchio,wr_wesm,7
mv_salam,wr_wesm,7
mv_snow,wr_wesm,7
mv_alice,wr_wico,7
mv_pinocchio,wr_wico,7
mv_ppan,wr_wico,7
mv_salam,wr_wico,7
mv_thrcab,wr_wico,7
mv_toyst4,wr_wico,7
mv_hotr,wr_wifi,7
mv_alice,wr_wihi,7
mv_cind,wr_wihi,7
mv_ichtoad,wr_wihi,7
mv_ppan,wr_wihi,7
mv_tsby,wr_wihi,7
mv_mtr,wr_wijo,7
mv_brbear,wr_wowo,7
mv_mapooh,wr_xaat,7
mv_avengers,wr_zape,7
